Klas;Voornaam;Naam;Geslacht;Geboortedatum;Attesteringen;Specifieke attesten;Opmerkingen;Niet behaalde minimumdoelen (enkel B-stroom)
2B;Mila;Van Dijk;V;2011-02-02;Attest zonder getuigschrift;ADHD;Houdt van sport;Spelling (werkwoorden), meten & metend rekenen
2B;Youssef;Wouters;M;2011-03-03;Attest zonder getuigschrift;ADHD;Houdt van sport;Hoofdrekenen (maal- en deeltafels), begrijpend lezen
2B;Fien;Claes;V;2011-04-04;Attest zonder getuigschrift;Dyslexie;Houdt van sport;Schrijven (zinsbouw), cijferen optellen/aftrekken
2B;Thomas;Van Dijk;M;2011-05-05;Attest zonder getuigschrift;OCD;Houdt van sport;Begrijpend lezen, woordenschat
2B;Aylin;Maes;V;2011-06-06;Attest zonder getuigschrift;;Komt uit andere school;Metend rekenen, breuken
2B;Sander;Hussein;M;2011-07-07;Attest zonder getuigschrift;;Houdt van sport;Spelling (zinsbouw), hoofdrekenen
2B;Olena;De Backer;V;2011-08-08;Attest zonder getuigschrift;;Houdt van sport;Rekenen (getallen tot 1000), begrijpend lezen
2B;Kobe;Marin;M;2011-09-09;Attest zonder getuigschrift;;Houdt van sport;Spelling (werkwoorden), meten & metend rekenen
2B;Jade;Claes;V;2011-01-10;Attest zonder getuigschrift;Dyscalculie;Houdt van sport;Hoofdrekenen (maal- en deeltafels), begrijpend lezen
2B;Ilyas;De Smet;M;2011-02-11;Attest zonder getuigschrift;Dyslexie;Komt uit andere school;Schrijven (zinsbouw), cijferen optellen/aftrekken
2B;Aylin;Vermeulen;V;2011-03-12;Attest zonder getuigschrift;;Houdt van sport;Begrijpend lezen, woordenschat
2B;Lars;Wouters;M;2011-04-13;Attest zonder getuigschrift;ADHD;Houdt van sport;Metend rekenen, breuken
2B;Marta;Peeters;V;2011-05-14;Attest zonder getuigschrift;;Houdt van sport;Spelling (zinsbouw), hoofdrekenen
2B;Ilyas;Mertens;M;2011-06-15;Attest zonder getuigschrift;;Houdt van sport;Rekenen (getallen tot 1000), begrijpend lezen
2B;Zoë;Van Dijk;V;2011-07-16;Attest zonder getuigschrift;OCD;Komt uit andere school;Spelling (werkwoorden), meten & metend rekenen
;Maksim;Hoxha;M;;;Dyslexie;;
;Elif;Yilmaz;V;;;;;
;Youssef;Mertens;M;;;;;
