Klas;Voornaam;Naam;Geslacht;Geboortedatum;Attesteringen;Specifieke attesten;Opmerkingen;Niet behaalde minimumdoelen (enkel B-stroom)
1A;Alina;De Clercq;V;2012-02-02;Getuigschrift basisonderwijs;Dyslexie;Geen bijzonderheden;—
1A;Niels;Willems;M;2012-03-03;Getuigschrift basisonderwijs;;Geen bijzonderheden;—
1A;Amina;Mertens;V;2012-04-04;Getuigschrift basisonderwijs;ADHD, ASS;Geen bijzonderheden;—
1A;Bram;De Clercq;M;2012-05-05;Getuigschrift basisonderwijs;;Geen bijzonderheden;—
1A;Leyla;Maes;V;2012-06-06;Getuigschrift basisonderwijs;;Geen bijzonderheden;—
1A;Milan;De Backer;M;2012-07-07;Getuigschrift basisonderwijs;Dyslexie;Geen bijzonderheden;—
1A;Mila;Janssens;V;2012-08-08;Getuigschrift basisonderwijs;;Komt uit andere school;—
1A;Nikolai;Kaya;M;2012-09-09;Getuigschrift basisonderwijs;ASS, Dyslexie;Geen bijzonderheden;—
1A;Sarah;Willems;V;2012-01-10;Getuigschrift basisonderwijs;;Geen bijzonderheden;—
1A;Nikolai;Van Dijk;M;2012-02-11;Getuigschrift basisonderwijs;Dyscalculie;Geen bijzonderheden;—
1A;Emma;Verbeeck;V;2012-03-12;Getuigschrift basisonderwijs;;Geen bijzonderheden;—
1A;Kenan;Vandermeulen;M;2012-04-13;Getuigschrift basisonderwijs;;Geen bijzonderheden;—
1A;Hanne;Benali;V;2012-05-14;Getuigschrift basisonderwijs;;Geen bijzonderheden;—
1A;Nikolai;Peeters;M;2012-06-15;Getuigschrift basisonderwijs;;Komt uit andere school;—
1A;Emma;De Smet;V;2012-07-16;Getuigschrift basisonderwijs;ADHD;Geen bijzonderheden;—
;Amir;Claes;M;;;ASS;;
;Hanna;Wouters;V;;;;;
;Niels;Vandermeulen;M;;;;;
;Aylin;Nowak;V;;;ADHD, OCD;;
;Milan;Claes;M;;;ADHD;;
;Nina;Claes;V;;;;;
;Lars;De Backer;M;;;ADHD;;
